Date,Author,Percentage
"September 14, 2023",Jeff Foust,100.0
"September 13, 2023",Jason Rainbow,40.0
"September 13, 2023",Sandra Erwin,20.0
"September 13, 2023",Debra Werner,20.0
"September 13, 2023",Jeff Foust,20.0
"September 12, 2023",Jeff Foust,22.22222222222222
"September 12, 2023",Sandra Erwin,33.33333333333333
"September 12, 2023",Debra Werner,33.33333333333333
"September 12, 2023",Jason Rainbow,11.11111111111111
"September 11, 2023",Sandra Erwin,30.76923076923077
"September 11, 2023",Jason Rainbow,30.76923076923077
"September 11, 2023",Debra Werner,23.076923076923077
"September 11, 2023",Jeff Foust,7.6923076923076925
"September 11, 2023",SpaceNews Inc.,7.6923076923076925
"September 10, 2023",Jeff Foust,50.0
"September 10, 2023",Sandra Erwin,50.0
"September 8, 2023",Jason Rainbow,20.0
"September 8, 2023",Jeff Foust,60.0
"September 8, 2023",Debra Werner,20.0
"September 7, 2023",Jeff Foust,50.0
"September 7, 2023",Sandra Erwin,33.33333333333333
"September 7, 2023",Andrew Jones,16.666666666666664
"September 6, 2023",Andrew Jones,9.090909090909092
"September 6, 2023",Debra Werner,27.27272727272727
"September 6, 2023",Jeff Foust,18.181818181818183
"September 6, 2023",Sandra Erwin,36.36363636363637
"September 6, 2023",Jason Rainbow,9.090909090909092
"September 5, 2023",Jeff Foust,20.0
"September 5, 2023",Jason Rainbow,20.0
"September 5, 2023",Sandra Erwin,20.0
"September 5, 2023",Debra Werner,20.0
"September 5, 2023",Andrew Jones,20.0
"September 4, 2023",Jeff Foust,40.0
"September 4, 2023",Sandra Erwin,20.0
"September 4, 2023",Andrew Jones,40.0
"September 2, 2023",Sandra Erwin,100.0
"September 1, 2023",Debra Werner,20.0
"September 1, 2023",Sandra Erwin,20.0
"September 1, 2023",Jason Rainbow,20.0
"September 1, 2023",Jeff Foust,20.0
"September 1, 2023",Andrew Jones,20.0
"August 31, 2023",Jeff Foust,40.0
"August 31, 2023",Sandra Erwin,20.0
"August 31, 2023",Jason Rainbow,20.0
"August 31, 2023",Andrew Jones,20.0
"August 30, 2023",Debra Werner,33.33333333333333
"August 30, 2023",Sandra Erwin,33.33333333333333
"August 30, 2023",Jeff Foust,33.33333333333333
"August 29, 2023",Jeff Foust,25.0
"August 29, 2023",Sandra Erwin,37.5
"August 29, 2023",Debra Werner,37.5
"August 28, 2023",Jeff Foust,50.0
"August 28, 2023",Sandra Erwin,50.0
"August 27, 2023",Jeff Foust,100.0
"August 26, 2023",Jeff Foust,100.0
"August 25, 2023",Debra Werner,14.285714285714285
"August 25, 2023",Jeff Foust,42.857142857142854
"August 25, 2023",Sandra Erwin,28.57142857142857
"August 25, 2023",Jason Rainbow,14.285714285714285
"August 24, 2023",Jeff Foust,60.0
"August 24, 2023",Sandra Erwin,20.0
"August 24, 2023",Park Si-soo,20.0
"August 23, 2023",Jeff Foust,25.0
"August 23, 2023",Sandra Erwin,25.0
