,word,count
0,to,6356
1,space,4701
2,for,4372
3,s,3647
4,in,2491
5,of,2462
6,satellite,2349
7,launch,2296
8,nasa,2272
9,on,2115
10,the,1552
11,force,1449
12,u,1432
13,and,1405
14,with,1181
15,a,1144
16,new,1068
17,satellites,992
18,spacex,969
19,commercial,947
20,air,836
21,mission,796
22,first,757
23,launches,707
24,rocket,702
25,as,701
26,from,634
27,million,592
28,contract,544
29,test,532
30,china,508
31,orbit,507
32,op,496
33,ed,495
34,at,462
35,military,445
36,5,425
37,is,410
38,flight,409
39,orbital,406
40,up,404
41,station,403
42,house,399
43,next,398
44,lunar,393
45,mars,381
46,industry,374
47,says,374
48,after,363
49,by,363
50,esa,358
51,crew,350
52,1,343
53,constellation,340
54,earth,339
55,plans,335
56,defense,334
57,data,332
58,more,331
59,weather,330
60,2,323
61,iss,322
62,3,318
63,falcon,309
64,budget,308
65,9,305
66,bill,296
67,small,295
68,science,292
69,national,285
70,funding,284
71,be,281
72,its,280
73,agency,280
74,chief,280
75,lockheed,279
76,year,275
77,raises,274
78,missions,272
79,program,271
80,systems,266
81,will,264
82,wins,257
83,boeing,257
84,plan,248
85,missile,243
86,dod,240
87,seeks,240
88,business,238
89,future,236
90,development,234
91,ula,230
92,it,230
93,over,229
94,ariane,227
95,intelsat,226
96,government,225
97,system,224
98,could,223
99,two,223
100,second,222
101,ses,221
102,virgin,221
103,pentagon,220
104,about,217
105,gps,217
106,moon,216
107,not,213
108,build,212
109,services,211
110,oneweb,211
111,european,210
112,communications,210
113,market,208
114,delays,204
115,out,204
116,security,201
117,blue,200
118,4,199
119,lab,197
120,service,197
121,billion,195
122,senate,193
123,work,192
124,engine,191
125,ground,191
126,chinese,188
127,technology,187
128,imagery,185
129,spacecraft,184
130,report,183
131,aerospace,182
132,viasat,182
133,noaa,182
134,into,182
135,but,180
136,soyuz,179
137,support,178
138,companies,177
139,eutelsat,177
140,russia,177
141,global,175
142,long,175
143,contracts,174
144,origin,174
145,review,172
146,cost,172
147,europe,171
148,debris,171
149,band,170
150,gets,169
151,sls,169
152,spaceflight,169
153,failure,169
154,startup,168
155,deal,166
156,command,165
157,martin,164
158,starlink,163
159,lander,163
160,inmarsat,160
161,t,160
162,arianespace,157
163,no,155
164,cargo,155
165,study,154
166,profile,154
167,smallsat,153
168,broadband,153
169,may,152
170,exploration,151
171,artemis,150
172,russian,150
173,radar,146
174,despite,146
175,former,145
176,director,145
177,6,144
178,signs,144
179,delay,144
180,programs,143
181,international,143
182,ahead,142
183,still,142
184,asteroid,141
185,orion,141
186,c,140
187,selects,140
188,dragon,140
189,down,140
190,congress,139
191,orders,138
192,airbus,137
193,back,137
194,growth,136
195,fcc,136
196,spending,135
197,return,134
198,northrop,133
199,darpa,133
200,ready,132
201,competition,132
202,operators,131
203,three,130
204,iridium,130
205,president,129
206,office,128
207,big,128
208,stage,128
209,landing,128
210,network,127
211,revenue,127
212,vehicle,126
213,proton,126
214,operations,125
215,payload,125
216,galactic,124
217,completes,124
218,schedule,123
219,acquisition,123
220,policy,123
221,atlas,123
222,human,123
223,heavy,123
224,private,122
225,white,121
226,high,121
227,executive,120
228,company,120
229,boost,119
230,india,119
231,solar,119
232,off,119
233,takes,119
234,eyes,119
235,how,118
236,strategy,118
237,japan,117
238,tests,116
239,2020,116
240,are,114
241,final,113
242,general,113
243,this,112
244,satcom,112
245,nro,111
246,order,111
247,has,110
248,ceo,110
249,awards,110
250,faa,109
251,unveils,109
252,leo,109
253,key,109
254,would,109
255,march,109
256,telesat,108
257,sees,108
258,calls,107
259,develop,107
260,panel,107
261,grumman,106
262,10,106
263,use,105
264,design,105
265,intelligence,105
266,galileo,105
267,tracking,104
268,investment,104
269,telescope,104
270,trump,104
271,center,102
272,time,102
273,an,102
274,passes,102
275,rover,102
276,propulsion,101
277,top,101
278,production,100
279,mda,100
280,joins,99
281,technologies,99
282,vega,99
283,astronaut,98
284,agreement,97
285,delayed,97
286,can,96
287,testing,96
288,fly,96
289,raytheon,96
290,cooperation,96
291,imaging,96
292,french,96
293,what,95
294,shuttle,95
295,geo,94
296,than,94
297,official,93
298,prepares,93
299,sets,93
300,suborbital,92
301,committee,92
302,forward,92
303,south,91
304,set,91
305,spaceport,91
306,jwst,91
307,editorial,91
308,issues,90
309,project,90
310,wants,90
311,observation,89
312,all,89
313,announces,89
314,procurement,89
315,servicing,89
316,x,88
317,we,88
318,that,88
319,taps,88
320,atk,88
321,commentary,88
322,cubesat,87
323,planning,87
324,flights,87
325,safety,87
326,looks,87
327,7,86
328,now,86
329,help,86
330,amid,86
331,begins,86
332,makes,86
333,startups,85
334,funds,85
335,delta,85
336,planetary,85
337,end,85
338,thales,85
339,decision,84
340,one,84
341,needs,84
342,news,84
343,track,83
344,planet,83
345,offers,82
346,round,82
347,maxar,82
348,warning,82
349,management,82
350,research,81
351,antares,81
352,role,81
353,another,81
354,8,80
355,aerojet,80
356,latest,80
357,early,80
358,continues,80
359,digitalglobe,80
